Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,"0,00",700,36,1
Albania ,EASTERN EUROPE                     ,3581655,28748,"1,26",4500,86,3
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,"0,04",6000,70,1
American Samoa ,OCEANIA                            ,57794,199,"58,29",8000,97,2
Andorra ,WESTERN EUROPE                     ,71201,468,"0,00",19000,100,3
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,"0,13",1900,42,4
Anguilla ,LATIN AMER. & CARIB    ,13477,102,"59,80",8600,95,2
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,"34,54",11000,89,2
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,"0,18",11200,97,3
Armenia ,C.W. OF IND. STATES ,2976372,29800,"0,00",3500,98,4
Aruba ,LATIN AMER. & CARIB    ,71891,193,"35,49",28000,97,2
Australia ,OCEANIA                            ,20264082,7686850,"0,34",29000,100,1
Austria ,WESTERN EUROPE                     ,8192880,83870,"0,00",30000,98,3
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,"0,00",3400,97,1
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,"25,41",16700,95,2
Bahrain ,NEAR EAST                          ,698585,665,"24,21",16900,89,1
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,"0,40",1900,43,2
Barbados ,LATIN AMER. & CARIB    ,279912,431,"22,51",15700,97,2
Belarus ,C.W. OF IND. STATES ,10293011,207600,"0,00",6100,99,4
Belgium ,WESTERN EUROPE                     ,10379067,30528,"0,22",29100,98,3
Belize ,LATIN AMER. & CARIB    ,287730,22966,"1,68",4900,94,2
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,"0,11",1100,40,2
Bermuda ,NORTHERN AMERICA                   ,65773,53,"194,34",36000,98,2
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,"0,00",1300,42,2
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,"0,00",2400,87,5
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,"0,04",6100,49,4
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,"0,00",9000,79,1
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,"0,09",7600,86,2
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,"52,29",16000,97.8,2
